Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Channel Islands,CHI,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,4.751568455,5.575463075,5.660499882,6.485220843,7.197973758,7.022241085,7.155715926,7.188915357,6.982397497,7.141577539,7.279013552,8.682226942,9.0555657,8.931366687,9.934807327,10.16102962,10.67089511,9.232408988,6.914796584,5.480680588,7.884957872,9.299025213,9.670367546,8.558015543,8.633871088,7.128986313,7.162312611,5.821007945,4.669750426,6.327048241,7.31599485,7.491495764,7.217671579,6.872755254,8.031828625,8.487124967,6.498387628,6.8708783,7.391794761,6.147033811,5.46225792,4.803369653,4.560161716,6.014191972,6.115134514,,
China,CHN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.6597493516,0.7108582889,0.7660397747,0.844829715,0.8005996429,0.7844134001,0.7517087519,0.6499894164,0.7182719016,0.8371075056,0.9498476818,1.045375095,1.167013354,1.105558288,1.149060419,1.13535343,1.142549114,1.182899923,1.256929844,1.255459641,1.276025111,1.310585368,1.467279124,1.897854859,2.01331397,1.993303213,2.08286147,2.179881537,2.154808711,2.302452711,2.659849517,2.756390009,2.751149063,2.922197418,2.931234392,2.928659663,3.050828283,3.520930614,3.555351722,3.687979769,3.665282211,4.311734437,4.793418462,5.426837341,,,
Cote d'Ivoire,CIV,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.4869405113,0.7460821665,0.5368848195,0.8480099959,1.112755233,0.9271377068,0.5868344016,0.4128249969,1.783943373,3.253346466,4.180195124,4.19578998,2.429073406,0.9112457233,3.158816912,2.50487533,2.157130629,2.500154025,3.102771907,2.616545742,2.412628784,1.848741185,1.872034404,1.951600071,2.976809739,2.647207884,2.735595859,2.009840278,2.147233937,2.234248192,2.370572195,2.130361004,2.387742662,1.616601154,1.284845997,1.372936987,1.518030629,1.595221255,1.954439149,1.369184743,1.309420162,1.217915567,1.020837303,1.18572557,,,
Cameroon,CMR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,3.337655857,3.34957946,3.261994082,3.537556901,3.66877398,3.506357253,3.195691595,3.179536604,3.183388692,3.211358783,4.056431461,4.366709088,4.32263226,4.364854564,4.607020902,4.621480936,4.574123627,4.65210972,4.647101312,4.585883935,4.567471544,4.570781594,4.581295117,4.247522242,4.275537187,4.346768685,4.55653264,4.463234643,4.738733682,4.691411167,4.679780926,4.187244429,4.461247937,4.807180883,4.598341806,4.978587783,5.218561841,5.691021823,4.995300851,5.258655337,5.631911115,5.254954077,5.000633555,5.732584523,,,
"Congo, Dem. Rep.",COD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,4.425587141,4.314111551,4.570008291,4.007160291,4.266127683,4.543375523,4.467870479,4.277169538,4.066280077,4.310124679,4.037213157,3.986884517,4.066323487,4.056162842,4.343614137,4.455102193,4.267321855,4.119945507,5.293667281,4.100154115,3.828738949,4.32837898,3.874761723,3.69739183,4.126553113,3.94685765,3.199226613,2.926975794,3.269738607,3.697433648,3.564152406,3.522532971,3.422645959,3.782998827,3.802103068,3.727995591,3.740059583,3.448179942,3.489677591,3.387881138,3.186795227,2.494522742,2.575442834,2.641084328,,,
"Congo, Rep.",COG,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.9132384174,1.077596027,0.8074177279,0.8710079569,0.9019173881,0.8943147136,0.7161780244,0.1580032135,1.106943219,1.387602578,1.386456303,2.208868243,2.629238151,2.939478285,3.273430745,3.063879114,3.127145923,3.340196321,4.419682097,5.352545253,5.021665665,4.490292009,3.778373907,3.929487189,3.762314957,5.172175028,5.345730348,4.050213169,1.142842755,3.573883742,3.609694551,4.248715006,3.109281542,2.825348091,2.809211047,2.255243165,2.286605934,2.392039293,1.843483209,2.200165308,3.04674564,3.317114194,3.18108037,3.115238957,,,
Colombia,COL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,4.13679586,4.526915517,4.895705765,5.152562469,4.959247264,4.927920912,5.438958362,6.306281184,7.094923312,6.938373848,6.852750881,7.048855095,6.890705833,7.448258389,7.891564415,8.385376641,8.841995003,9.044260283,9.811337065,9.762542055,9.737660507,7.650608608,9.144091323,10.16454246,10.02134485,10.79603967,9.867410827,9.215204245,11.29498926,10.68573533,10.63751293,11.59040548,12.08909052,13.27408685,12.65436631,12.93208141,13.52625187,13.48962331,11.51434002,11.14594281,13.46177949,12.98708108,12.61093513,12.58620345,,,
Comoros,COM,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
